College,Id,Total Offense,Rushing Offense,Passing Offense,Team Passing Efficiency,Scoring Offense,Total Defense,Rushing Defense,Passing Yards Allowed,Team Passing Efficiency Defense,Scoring Defense,Turnover Margin,3rd Down Conversion Pct,4th Down Conversion Pct,3rd Down Conversion Pct Defense,4th Down Conversion Pct Defense,Red Zone Offense,Red Zone Defense,Net Punting,Punt Returns,Kickoff Returns,First Downs Offense,First Downs Defense,Fewest Penalties Per Game,Fewest Penalty Yards Per Game,Time of Possession
Florida Atlantic,557234,330.8,115.2,215.5,124.98,23.8,397.3,149.2,248.1,138.10,25.5,0.08,0.339,0.382,0.365,0.500,0.756,0.837,38.22,18.80,18.54,216,265,3.42,33.33,27:05
FIU,557237,319.6,90.2,229.3,121.87,20.1,436.7,190.8,245.8,144.63,31.8,-0.75,0.284,0.485,0.405,0.550,0.778,0.818,37.97,10.15,17.78,185,273,5.83,50.58,27:05
Florida,557241,409.1,149.8,259.2,153.67,28.4,382.2,155.6,226.7,146.28,27.6,-0.42,0.369,0.409,0.356,0.308,0.917,0.875,43.26,10.79,20.69,260,212,6.58,49.58,33:06
Florida State,557239,401.6,150.2,251.4,145.52,34.6,331.9,152.2,179.7,103.83,19.3,0.57,0.363,0.476,0.288,0.433,0.873,0.822,43.28,11.04,25.44,274,249,6.07,56.57,29:24
Fresno State,557209,387.8,105.5,282.2,138.40,30.5,370.8,166.2,204.7,118.21,23.5,0.69,0.476,0.643,0.396,0.586,0.915,0.868,38.40,9.20,22.05,275,268,4.46,40.15,29:28
Georgia,557249,496.5,191.2,305.3,168.21,40.1,289.1,113.6,175.4,106.86,15.6,0.21,0.552,0.750,0.257,0.567,0.914,0.917,42.59,10.83,25.42,363,224,4.43,43.29,33:28
Georgia Southern,557243,419.5,117.2,302.2,130.30,30.2,395.9,161.4,234.5,137.66,30.5,-0.77,0.454,0.609,0.386,0.400,0.842,0.862,35.65,7.56,23.78,301,262,5.85,51.77,31:08
Georgia State,557245,393.3,188.1,205.2,143.08,27.2,425.3,145.8,279.5,152.44,30.1,0.15,0.455,0.474,0.445,0.423,0.750,0.771,34.75,2.33,17.67,254,272,6.38,57.54,29:36
Georgia Tech,557247,424.6,203.8,220.8,139.12,31.1,437.1,221.3,215.8,133.70,29.5,0.31,0.431,0.522,0.435,0.538,0.860,0.855,38.67,10.08,22.17,290,287,5.15,44.77,28:38
Hawaii,557251,352.5,76.1,276.4,129.96,21.4,385.3,170.9,214.4,152.06,32.2,-0.77,0.372,0.500,0.452,0.450,0.756,0.809,35.57,6.73,19.52,251,261,6.15,56.38,29:38
Houston,557252,360.2,118.7,241.5,136.67,23.7,423.9,168.6,255.3,148.87,31.5,-0.08,0.365,0.259,0.484,0.636,0.771,0.816,39.33,6.67,21.55,230,274,5.67,49.17,27:59
Illinois,557254,391.0,126.4,264.6,139.18,24.5,377.2,149.2,228.1,132.71,29.4,-0.67,0.360,0.560,0.440,0.533,0.917,0.849,38.88,11.08,18.16,245,268,6.58,62.42,28:25
Indiana,557256,332.8,120.1,212.8,127.75,22.2,394.1,156.2,237.8,143.63,29.9,-0.42,0.375,0.370,0.361,0.526,0.818,0.889,40.40,2.58,21.19,237,252,5.42,50.58,29:26
Iowa,557260,234.6,115.9,118.6,91.16,15.4,282.5,111.8,170.7,102.13,14.8,-0.50,0.294,0.500,0.313,0.583,0.800,0.758,44.17,10.13,23.37,181,230,3.64,30.93,28:33
Iowa State,557258,364.9,119.9,245.0,149.20,26.2,363.2,134.2,228.9,119.93,22.8,0.62,0.391,0.625,0.361,0.583,0.939,0.732,39.15,7.94,21.22,212,260,4.85,43.77,29:09
Jacksonville State,557522,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison,557382,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,557264,446.1,206.0,240.1,167.00,34.8,378.2,161.5,216.7,134.67,26.5,0.08,0.483,0.368,0.416,0.600,0.860,0.980,39.39,19.83,19.87,279,267,5.62,56.92,30:39
Kansas State,557262,445.2,204.1,241.2,140.92,37.1,372.5,147.5,225.1,118.63,21.0,0.85,0.479,0.583,0.302,0.459,0.892,0.788,37.67,4.56,18.11,310,225,4.85,43.69,31:52
Kennesaw State,557738,333.7,195.6,138.1,125.33,26.1,308.2,118.8,189.4,119.86,17.9,1.11,0.321,0.467,0.370,0.667,0.750,0.875,38.76,9.94,25.50,151,163,6.56,63.33,29:37
Kent State,557266,270.4,105.9,164.5,114.79,14.7,390.6,176.1,214.5,145.24,34.6,-0.25,0.298,0.462,0.475,0.533,0.846,0.875,34.58,7.57,21.12,180,237,5.42,46.17,28:48
Kentucky,557268,339.5,127.8,211.6,133.49,29.1,353.5,113.1,240.5,138.97,25.8,-0.15,0.380,0.200,0.432,0.611,0.810,0.915,36.43,9.12,30.13,221,265,6.08,50.85,27:37
Liberty,557179,499.1,293.3,205.9,169.53,38.3,372.6,116.7,255.9,130.23,23.9,0.50,0.500,0.524,0.380,0.459,0.818,0.816,37.86,6.62,20.46,348,284,6.29,62.50,33:04
Louisiana,557115,392.4,175.7,216.7,145.10,32.2,385.8,170.8,215.0,134.21,28.6,0.08,0.407,0.550,0.445,0.742,0.808,0.828,39.58,5.71,22.24,266,283,6.08,48.62,29:06
